gt_x_m	gt_y_m	pred_x_m	pred_y_m	true_area
4.350017	-0.5810139	3.6787899	-0.72468495	A
2.1661222	-0.51629305	2.2219455	-0.7544466	A
1.2881306	-0.45960152	1.5445806	-0.4868822	A
0.3380406	-0.31465805	0.14461546	-0.46824598	A
4.668492	-0.069601536	4.0252147	0.12844586	A
4.2961335	-0.08154011	3.5425882	-0.8091656	A
3.6206057	-0.15137184	3.6163685	-0.5446768	A
2.3306663	-0.52371716	2.9174278	-0.54043174	A
1.436754	-0.3846618	1.2400626	-0.80006075	A
0.20128848	-0.020307064	0.15434574	-0.12508178	A
2.1251535	-0.5116446	1.925641	-0.5088041	A
3.3688676	-0.4520942	3.1295848	-1.2488797	A
3.75517	-0.6709969	3.3492591	-0.58856976	A
4.1806493	-0.6875843	3.9990506	-0.6756655	A
0.5540929	-0.046218395	0.28344828	0.1591196	A
0.2390439	-0.026754856	0.56931984	0.12880802	A
3.5267355	-0.48091877	3.5261056	-0.9644643	A
2.3096983	-0.26480162	2.0801692	-1.1463435	A
-1.4901161e-08	0.0	-0.25867677	0.050025225	A
2.816843	-0.22424746	2.5083387	-0.7086066	A
1.2173046	-0.43622732	1.2627023	-0.7906666	A
4.061834	-0.56279135	3.7884576	-1.4040154	A
-0.022402063	-0.24472773	-0.8047659	-0.85975397	A
1.3189472	-0.34891903	2.0873456	-1.0029314	A
0.39284992	-0.010646582	-0.14905672	-0.05803895	A
-1.4901161e-08	0.0	-0.38622323	-0.12106693	A
4.184514	-0.6875173	3.7412293	-1.105065	A
2.3853338	-0.4591745	1.3608853	-0.10345864	A
4.3503375	-0.5815064	4.262096	-1.1785624	A
4.2424426	-0.59973645	4.207382	-1.624471	A
1.0020612	-0.25660622	0.4566434	-0.23643911	A
-0.17149381	-0.1946317	-0.2986207	-0.44135427	A
-1.4901161e-08	0.0	1.1632183	1.1912911	A
4.3503804	-0.58176756	3.6847656	-0.8295016	A
2.0844524	-0.5065254	1.7582959	-0.404855	A
3.6508777	-0.5440345	3.8156686	-0.14623117	A
3.3052943	-0.6505022	3.494002	-0.06673741	A
-1.4901161e-08	0.0	-0.28574517	-0.0678463	A
1.4763466	-0.3963951	1.4735918	-0.37559092	A
4.090993	-0.5646359	3.8106027	-0.9321096	A
1.1683449	-0.29129982	0.8014969	-0.6154188	A
8.47915	1.6636636	8.1549425	0.89110565	B
3.7812116	17.733318	3.629214	17.445198	B
7.165823	9.793222	7.0424547	9.51514	B
7.9444423	6.6488667	7.311904	5.2387757	B
7.9849334	-1.9964566	7.6264896	-0.32132924	B
7.3962183	6.0926495	7.153118	6.5396013	B
6.8143125	9.015929	6.8616486	8.294005	B
7.857161	2.5375938	7.7410817	2.1237063	B
4.534492	15.981402	4.294294	15.874946	B
7.9837947	-1.7093279	7.725915	-0.45305276	B
7.38093	6.212699	7.112825	6.500346	B
6.9470696	10.323767	6.901607	10.1939335	B
6.467084	10.5523615	6.6405025	10.793876	B
6.5647907	11.231021	6.724921	10.683044	B
3.484934	17.606274	3.683982	17.162067	B
5.8133693	12.841811	6.113422	12.035781	B
7.981649	-1.4222171	7.593452	-1.0991296	B
5.251584	14.445607	5.3280697	13.978007	B
6.115457	12.377219	6.395377	11.56236	B
5.769013	13.064536	5.9153905	12.751673	B
4.49239	15.634965	4.4021792	15.575259	B
4.0755982	17.058113	4.0219607	16.480358	B
7.4364157	5.772069	7.285114	5.3497972	B
7.6783366	4.5851965	7.7171583	3.8596282	B
5.883663	12.652668	6.360345	11.549399	B
7.98325	-1.5351046	7.576547	-0.742056	B
7.9849496	-1.9795487	7.68864	-0.8654649	B
7.716649	7.9458323	7.628768	8.069997	B
8.454837	1.5858438	8.52009	1.7435966	B
3.9630618	16.699871	4.287485	16.316772	B
7.9839215	-1.6565777	7.5959654	-0.98750734	B
6.553862	10.199279	6.6593623	10.70169	B
5.6296954	13.419154	5.506671	13.25276	B
3.5848835	17.427647	3.7908256	17.055847	B
8.189512	1.0309663	7.594224	0.09285045	B
4.600076	15.4138	4.707879	14.999822	B
8.032365	0.28044224	7.744479	1.2083867	B
8.541241	2.9708443	7.917813	2.1270742	B
4.5821457	15.450795	4.547407	15.44086	B
6.8184447	10.625825	6.7284455	10.370027	B
7.6340055	8.263516	7.4458303	8.875707	B
7.490636	5.4947624	7.2831497	5.186684	B
3.797521	17.69629	3.712083	17.318253	B
6.034331	12.192649	6.498752	11.465681	B
5.691538	13.226819	5.7946916	12.871111	B
3.3091314	18.785923	3.3740308	18.178757	B
4.329776	15.966287	4.3297334	16.006638	B
5.8353415	12.961451	6.0896287	12.319828	B
2.8530843	18.654129	2.991775	18.717781	B
7.9755864	-0.8092413	7.478369	-0.8789073	B
6.402575	11.652056	6.6510997	10.911172	B
7.515684	5.3764167	7.2577534	5.39067	B
6.6086154	11.115835	6.7202744	10.5259	B
6.2575583	11.374249	6.5444217	11.326466	B
7.6862135	4.5456166	7.739244	3.6181302	B
7.984732	-1.8581065	7.7216635	-0.55273867	B
7.8160753	3.263298	7.6080055	3.6635542	B
5.531252	13.495959	6.11852	12.002737	B
4.689268	15.22923	4.885903	14.69473	B
4.8840613	14.822211	5.04711	14.391345	B
2.8530843	18.654129	3.0513186	18.586826	B
6.023467	12.231383	6.541068	11.516881	B
7.665245	8.144315	7.6176915	7.8564854	B
7.9244685	1.2079394	7.7489696	1.136123	B
5.206014	14.557952	5.264731	14.130952	B
4.1869755	16.798466	3.9747906	16.531895	B
7.2565465	7.1331425	7.1710434	7.847415	B
6.6346917	9.844731	6.765804	10.060516	B
7.9763694	-0.9709574	7.4204316	-0.3872794	B
7.186845	7.6131887	7.1233225	8.424103	B
4.3917527	16.315216	4.184115	16.224304	B
7.985	-2.12	7.6627645	-0.55162513	B
7.662489	4.6644363	7.7316337	3.8136592	B
5.642015	13.380875	5.6730266	12.946116	B
7.972503	-0.6075759	7.513485	-1.3544543	B
6.2826915	11.957755	6.428826	11.366538	B
6.5442824	10.238618	6.7056293	10.480161	B
